iter	Passed	Remaining
879	3688	503
880	3698	499
881	3704	495
882	3708	491
883	3714	487
884	3718	483
885	3721	478
886	3723	474
887	3730	470
888	3736	466
889	3739	462
890	3743	457
891	3750	454
892	3753	449
893	3760	445
894	3765	441
895	3768	437
896	3773	433
897	3780	429
898	3782	424
899	3789	421
900	3796	417
901	3798	412
902	3805	408
903	3811	404
904	3815	400
905	3819	396
906	3826	392
907	3830	388
908	3834	383
909	3839	379
910	3842	375
911	3849	371
912	3853	367
913	3855	362
914	3860	358
915	3864	354
916	3871	350
917	3876	346
918	3880	341
919	3886	337
920	3892	333
921	3898	329
922	3903	325
923	3908	321
924	3911	317
925	3916	312
926	3919	308
927	3923	304
928	3931	300
929	3934	296
930	3937	291
931	3942	287
932	3948	283
933	3951	279
934	3954	274
935	3960	270
936	3963	266
937	3966	262
938	3970	257
939	3977	253
940	3980	249
941	3983	245
942	3989	241
943	3992	236
944	3995	232
945	3998	228
946	4006	224
947	4009	219
948	4012	215
949	4020	211
950	4022	207
951	4025	202
952	4033	198
953	4037	194
954	4039	190
955	4045	186
956	4051	182
957	4054	177
958	4057	173
959	4069	169
960	4072	165
961	4080	161
962	4083	156
963	4086	152
964	4091	148
965	4096	144
966	4099	139
967	4102	135
968	4109	131
969	4112	127
970	4115	122
971	4119	118
972	4124	114
973	4127	110
974	4131	105
975	4137	101
976	4139	97
977	4143	93
978	4150	89
979	4153	84
980	4156	80
981	4165	76
982	4168	72
983	4171	67
984	4180	63
985	4182	59
986	4185	55
987	4194	50
988	4196	46
989	4199	42
990	4205	38
991	4209	33
992	4212	29
993	4216	25
994	4224	21
995	4227	16
996	4231	12
997	4236	8
998	4240	4
999	4245	0
