,Date,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
408,2016-11-06,,,,,6.7514,8412,2818
409,2016-11-13,,,,,6.8115,9118,2897
410,2016-11-20,,,,,6.8796,8347,3000
411,2016-11-27,,,,,6.9168,8425,3125
412,2016-12-04,,,,,6.8794,8460,3547
413,2016-12-11,,,,,6.8972,9326,4193
414,2016-12-18,,,,,6.9508,9729,4099
415,2016-12-25,,,,,6.9463,,4089
416,2017-01-01,,,,,6.937,,4496
417,2017-01-08,,,,,6.8668,,
418,2017-01-15,,,,,6.8909,8775,4324
419,2017-01-22,,,,,6.8693,9027,4440
420,2017-01-29,,,,,6.8588,,
421,2017-02-05,,,,,6.8556,,
422,2017-02-12,,,,,6.8819,9197,4515
423,2017-02-19,,,,,6.8456,8982,4042
424,2017-02-26,,,,,6.8655,8657,3877
425,2017-03-05,,,,,6.8896,8583,3800
426,2017-03-12,,,,,6.9123,8180,3805
427,2017-03-19,,,,,6.8873,8362,3722
428,2017-03-26,,,,,6.8845,8203,3755
429,2017-04-02,,,,,6.8993,,
430,2017-04-09,,,,,6.8949,,
431,2017-04-16,,,,,6.8651,7803,3399
432,2017-04-23,,,,,6.8823,7730,3399
433,2017-04-30,,,,,6.8931,7836,3399
434,2017-05-07,,,,,6.8884,,
435,2017-05-14,,,,,6.8948,7503,3791
436,2017-05-21,,,,,6.8786,7995,3399
437,2017-05-28,,,,,6.8698,8003,3399
438,2017-06-04,,,,,6.807,,
439,2017-06-11,,,,,6.7971,7740,3745
440,2017-06-18,,,,,6.7995,,
441,2017-06-25,,,,,6.8238,7593,3745
442,2017-07-02,,,,,6.7744,7873,3745
443,2017-07-09,,,,,6.7914,8038,3745
444,2017-07-16,,,,,6.7774,8059,3803
445,2017-07-23,,,,,6.7415,8426,3770
446,2017-07-30,,,,,6.7373,8257,3716
447,2017-08-06,,,,,6.7132,,
448,2017-08-13,,,,,6.6642,8719,3866
449,2017-08-20,,,,,6.6744,8816,3880
450,2017-08-27,,,,,6.6579,9199,3745
451,2017-09-03,,,,,6.5909,9477,3950
452,2017-09-10,,,,,6.5032,,
453,2017-09-17,,,,,6.5423,8888,3950
454,2017-09-24,,,,,6.5861,8633,3950
455,2017-10-01,,,,,6.6369,8756,4000
456,2017-10-15,,,,,6.5866,8838,4024
457,2017-10-22,,,,,6.6092,8990,4024
458,2017-10-29,,,,,6.6473,8828,4024
459,2017-11-05,,,,,6.6072,8908,3771
460,2017-11-12,,,,,6.6282,9132,3771
461,2017-11-19,,,,,6.6277,8968,3771
462,2017-11-26,,,,,6.581,9198,3771
463,2017-12-03,,,,,6.6067,8871,3870
464,2017-12-10,,,,,6.6218,8943,3870
465,2017-12-17,,,,,6.6113,8963,3870
466,2017-12-24,,,,,6.5821,9183,3870
467,2017-12-31,,,,,6.5342,9282,3870
468,2018-01-07,,,,,6.4915,,
469,2018-01-14,,,,,6.4932,9638,3765
470,2018-01-21,,,,,6.4169,9415,3765
471,2018-01-28,,,,,6.3436,9559,3765
472,2018-02-04,,,,,6.2885,9421,3765
473,2018-02-11,,,,,6.3194,9230,3765
474,2018-02-18,,,,,6.3428,,
475,2018-02-25,,,,,6.3482,,
476,2018-03-04,,,,,6.3334,9245,4317
477,2018-03-11,,,,,6.3451,8989,4317
478,2018-03-18,,,,,6.334,8796,4317
479,2018-03-25,,,,,6.3272,8545,4317
480,2018-04-01,,,,,6.2881,8701,4317
481,2018-04-08,,,,,6.3114,,
482,2018-04-15,,,,,6.2898,9005,3791
483,2018-04-22,,,,,6.2897,8921,3791
484,2018-04-29,,,,,6.3393,8965,3791
485,2018-05-06,,,,,6.3521,,
486,2018-05-13,,,,,6.3524,9259,3765
487,2018-05-20,,,,,6.3763,9207,3765
